id;Watched date;Name;Year;Genre;Runtime;Female directed;Country;Rewatch?;Like?;Rating;Mean rating;Total likes;Total reviews
44;26/1/24;Poor Things;2023;Science Fiction;141;False;USA;False;False;5;4,1;641212;507130
44;26/1/24;Poor Things;2023;Comedy;141;False;Ireland;False;False;5;4,1;641212;507130
44;26/1/24;Poor Things;2023;Comedy;141;False;UK;False;False;5;4,1;641212;507130
44;26/1/24;Poor Things;2023;Comedy;141;False;USA;False;False;5;4,1;641212;507130
45;7/1/24;Society of the Snow;2023;History;144;False;Spain;False;False;4;4,1;290513;191596
45;7/1/24;Society of the Snow;2023;History;144;False;USA;False;False;4;4,1;290513;191596
45;7/1/24;Society of the Snow;2023;Drama;144;False;Spain;False;False;4;4,1;290513;191596
45;7/1/24;Society of the Snow;2023;Drama;144;False;USA;False;False;4;4,1;290513;191596
46;28/12/23;Priscilla;2023;Romance;113;True;Italy;False;False;5;3,6;223387;226175
46;28/12/23;Priscilla;2023;Romance;113;True;USA;False;False;5;3,6;223387;226175
46;28/12/23;Priscilla;2023;Music;113;True;Italy;False;False;5;3,6;223387;226175
46;28/12/23;Priscilla;2023;Music;113;True;USA;False;False;5;3,6;223387;226175
46;28/12/23;Priscilla;2023;Drama;113;True;Italy;False;False;5;3,6;223387;226175
46;28/12/23;Priscilla;2023;Drama;113;True;USA;False;False;5;3,6;223387;226175
47;3/2/24;Anyone But You;2023;Romance;104;False;USA;False;False;4;3;200158;261432
47;3/2/24;Anyone But You;2023;Comedy;104;False;USA;False;False;4;3;200158;261432
48;14/1/24;Before Sunrise;1995;Romance;101;False;Austria;False;False;4,5;4,3;407882;164669
48;14/1/24;Before Sunrise;1995;Romance;101;False;USA;False;False;4,5;4,3;407882;164669
48;14/1/24;Before Sunrise;1995;Drama;101;False;Austria;False;False;4,5;4,3;407882;164669
48;14/1/24;Before Sunrise;1995;Drama;101;False;USA;False;False;4,5;4,3;407882;164669
49;9/2/24;Drop Dead Gorgeous;1999;Comedy;98;False;USA;False;False;4,5;3,8;30985;19890
50;18/2/24;Perfect Days;2023;Drama;125;False;Germany;False;False;2,5;4,3;131475;86910
50;18/2/24;Perfect Days;2023;Drama;125;False;Japan;False;False;2,5;4,3;131475;86910
51;19/2/24;The Tale;2018;Drama;114;True;Germany;False;False;4;3,9;9765;5903
51;19/2/24;The Tale;2018;Drama;114;True;USA;False;False;4;3,9;9765;5903
51;19/2/24;The Tale;2018;Mystery;114;True;Germany;False;False;4;3,9;9765;5903
51;19/2/24;The Tale;2018;Mystery;114;True;USA;False;False;4;3,9;9765;5903
